Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
43,0.5,0.95,Semi-supervised,future,0.7867403314917127,0.643774733955534,0.94,0.91,1.9352900403692912
42,0.5,0.5,Veenman,future,0.8558951965065502,0.6253398957496984,0.88,0.91,2.204869448467164
34,0.5,0.95,sample,,,,,,1.4716329461955866
17,0.5,0.5,Semi-supervised,future,0.8359550561797753,0.6193258666334363,0.78,0.84,2.172465987205528
8,0.05,0.95,Veenman,future,0.625,0.3300079842689002,0.52,0.53,0.9857794965662466
31,0.05,0.95,Label_Propagation,future,0.05,0.41695779138632705,0.74,0.7,1.1788645722183335
38,0.05,0.5,traditional,future,0.15159282314170633,0.3232622757664157,0.7,0.6,0.9976754569212108
8,0.05,0.0,traditional,future,0.5,0.22259485551501737,0.46,0.4,1.064481757778978
43,0.5,0.95,Self_Learning,future,0.6634657354866871,0.7055757182507241,0.94,0.94,1.671913025391683
15,0.5,0.5,Veenman,future,0.8333333333333334,0.6588530952849749,0.88,0.82,2.249941356089183
26,0.05,0.95,Veenman,future,0.5240963855421686,0.3427462076731197,0.66,0.55,1.0327381359171417
36,0.5,0.5,Self_Learning,future,0.8789473684210526,0.7768249492311159,0.96,0.95,2.167282684460972
36,0.05,0.95,traditional,future,0.07027328499721137,0.33685389420310397,0.68,0.55,0.8863580881494416
14,0.5,0.95,Semi-supervised,future,0.8059299191374663,0.6464113828175616,0.94,0.95,1.9038995891286465
6,0.5,0.5,Self_Learning,future,0.7512842465753424,0.7140794080638734,0.92,0.93,1.6560123248294767
33,0.5,0.5,Label_Propagation,future,0.0,0.8329338532810691,1.0,0.98,2.135579842870704
10,0.05,0.0,Self_Learning,future,0.26490066225165565,0.1695623991121823,0.38,0.38,1.4236742189752607
6,0.05,0.95,Label_Propagation,future,0.05,0.35096467392452524,0.66,0.65,1.3612987706779072
40,0.5,0.5,Semi-supervised,future,0.7976470588235294,0.6364255872406425,0.84,0.91,2.1456234478395038
14,0.5,0.95,Self_Learning,future,0.6212250469203208,0.6883368610413324,0.82,0.85,1.6945895869781307
8,0.05,0.5,Semi-supervised,future,0.4864864864864865,0.26823230738844417,0.5,0.5,0.9188265942240931
32,0.05,0.0,sample,,,,,,0.7340239123695108
40,0.5,0.5,traditional,future,0.7961060032449973,0.7220316485133378,0.98,0.94,2.2165741995783255
4,0.5,0.5,Label_spreading,future,1.0,0.8195602931473546,1.0,1.0,2.149706292242725
9,0.05,0.5,Label_spreading,future,0.08069828722002635,0.3418732172860569,0.68,0.58,1.449140577356194
12,0.05,0.0,Label_spreading,future,0.0,0.218063366336623,0.38,0.35,1.0870581576429192
40,0.05,0.5,Label_spreading,future,0.3005050505050505,0.3020367982430123,0.6,0.53,1.55546751774564
29,0.5,0.0,traditional,future,0.7328600405679513,0.798672038242928,0.96,0.98,1.628981127758298
